timestamp,gamma_rad,dgamma_radps,phi_rad,dphi_radps
5.1522002220, 3.0485022068, -0.0010855778, -0.0565380082, -0.0000000000
5.1622023582, 3.0485022068, 0.0043691169, -0.0565380082, -0.0000000000
5.1722111702, 3.0485022068, 0.0043691169, -0.0565380082, -0.0000000000
5.1821188927, 3.0485022068, 0.0022053781, -0.0565380082, -0.0000000000
5.1921219826, 3.0485022068, 0.0000226348, -0.0565380082, -0.0000000000
5.2021341324, 3.0485022068, 0.0010913716, -0.0565380082, -0.0000000000
5.2121272087, 3.0485022068, 0.0021700738, -0.0564445928, -0.0000000000
5.2220458984, 3.0485022068, -0.0000064461, -0.0564445928, -0.0000000000
5.2320508957, 3.0485022068, -0.0021811111, -0.0564445928, -0.0000000000
5.2420511246, 3.0485022068, -0.0000294785, -0.0564445928, -0.0000000000
5.2519788742, 3.0485022068, 0.0010843846, -0.0564445928, -0.0000000000
5.2619571686, 3.0485022068, 0.0010849350, -0.0564445928, -0.0000000000
5.2719573975, 3.0485022068, -0.0000182375, -0.0562875457, -0.0000000000
5.2818679810, 3.0485022068, -0.0000021759, -0.0562875457, -0.0000000000
5.2918691635, 3.0485022068, 0.0000158478, -0.0562875457, -0.0000000000
5.3018646240, 3.0485022068, 0.0021927708, -0.0562875457, -0.0000000000
5.3118329048, 3.0485022068, -0.0032788629, -0.0562875457, -0.0000000000
5.3218116760, 3.0485022068, 0.0021827496, -0.0562875457, -0.0000000000
5.3317761421, 3.0485022068, 0.0010717192, -0.0562875457, -0.0000000000
5.3417444229, 3.0487580299, 0.0120398523, -0.0562875457, -0.0000000000
5.3517117500, 3.0486660004, 0.0075486563, -0.0562875457, -0.0000000000
5.3617100716, 3.0482759476, -0.0110194180, -0.0562875457, -0.0000000000
5.3717122078, 3.0483829975, 0.0196092241, -0.0561847538, 0.0156250000
5.3817110062, 3.0489091873, 0.0252045803, -0.0561847538, 0.0156250000
5.3917121887, 3.0493063927, 0.0252062660, -0.0555249304, 0.0488281250
5.4017133713, 3.0494136810, 0.2137348354, -0.0555249304, 0.0488281250
5.4117150307, 3.0483722687, 0.5081667304, -0.0542228669, 0.0273437500
5.4217166901, 3.0465579033, 0.3816188574, -0.0542228669, 0.0273437500
5.4317188263, 3.0452988148, 0.3014407754, -0.0478683785, 0.4863281250
5.4417238235, 3.0446109772, 0.2283770591, -0.0478683785, 0.4863281250
5.4517221451, 3.0438148975, 0.1881722510, -0.0374522582, 0.2675781250
5.4617261887, 3.0426805019, 0.1775861382, -0.0374522582, 0.2675781250
5.4717278481, 3.0412087440, 0.1567637473, -0.0319862217, 0.1464843750
5.4817347527, 3.0400249958, 0.1227876619, -0.0319862217, 0.1464843750
5.4917330742, 3.0391488075, 0.0512139387, -0.0275938511, 0.1523437500
5.5017328262, 3.0386843681, -0.0202518664, -0.0275938511, 0.1523437500
5.5117368698, 3.0377309322, -0.0628442913, -0.0242950078, 0.0371093750
5.5217409134, 3.0362026691, -0.0897376090, -0.0242950078, 0.0371093750
5.5317425728, 3.0341825485, -0.1296448112, -0.0259553567, -0.0996093750
5.5417518616, 3.0321154594, -0.0885908455, -0.0259553567, -0.0996093750
5.5517439842, 3.0318453312, 0.1265073121, -0.0300618112, -0.1777343750
5.5617451668, 3.0322952271, 0.2917226553, -0.0300618112, -0.1777343750
5.5717449188, 3.0326535702, 0.3840983808, -0.0328862108, 0.1171875000
5.5817480087, 3.0338637829, 0.4627330899, -0.0328862108, 0.1171875000
5.5917530060, 3.0345745087, 0.3199184239, -0.0251322519, 0.3789062500
5.6017541885, 3.0331153870, 0.0028318660, -0.0251322519, 0.3789062500
5.6117539406, 3.0311896801, -0.0472690463, -0.0146666160, 0.2480468750
5.6217541695, 3.0296175480, -0.0984673724, -0.0146666160, 0.2480468750
5.6317567825, 3.0290861130, -0.1846529990, -0.0155580873, -0.0957031250
5.6417641640, 3.0286440849, -0.2788565457, -0.0155580873, -0.0957031250
5.6517624855, 3.0279483795, -0.3255014718, -0.0215025768, -0.2714843750
5.6617641449, 3.0278916359, -0.2880431712, -0.0215025768, -0.2714843750
5.6717638969, 3.0291349888, -0.2638577521, -0.0334812514, -0.3867187500
5.6817650795, 3.0310790539, -0.2594189644, -0.0334812514, -0.3867187500
5.6917672157, 3.0338006020, -0.2203718722, -0.0447276756, -0.3183593750
5.7017683983, 3.0365400314, -0.1959756911, -0.0447276756, -0.3183593750
5.7117700577, 3.0393507481, -0.1877198666, -0.0552093610, -0.2890625000
5.7217750549, 3.0425755978, -0.1711212248, -0.0552093610, -0.2890625000
5.7317728996, 3.0459234715, -0.1640109867, -0.0643412918, -0.2636718750
5.7417731285, 3.0493929386, -0.1685691625, -0.0643412918, -0.2636718750
5.7517728806, 3.0529203415, -0.1345187277, -0.0734002367, -0.2714843750
5.7617788315, 3.0565853119, -0.0713486671, -0.0734002367, -0.2714843750
5.7717781067, 3.0610413551, 0.0125612486, -0.0839095041, -0.2636718750
5.7822370529, 3.0658144951, 0.0791878551, -0.0839095041, -0.2636718750
5.7926187515, 3.0710055828, 0.1462430060, -0.0908407420, -0.1093750000
5.8027877808, 3.0761487484, 0.1826514304, -0.0908407420, -0.1093750000
5.8130698204, 3.0815203190, 0.2276157886, -0.0914897844, 0.0859375000
5.8233523369, 3.0872385502, 0.2672744393, -0.0914897844, 0.0859375000
5.8336338997, 3.0935590267, 0.3239382207, -0.0857369676, 0.1855468750
5.8439126015, 3.1005761623, 0.3851699531, -0.0857369676, 0.1855468750
5.8541698456, 3.1084654331, 0.4587128758, -0.0748963878, 0.3144531250
